Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
[2022-04-28 19:51:57 ()],1,187.48866632412745,2.6298401628165267,0.04,1,1
[2022-04-28 19:52:02 ()],2,209.53281365934072,8.973032953850323,0.09,1,1
[2022-04-28 19:52:06 ()],3,432.0,8.720702041810666,0.07,2,2
[2022-04-28 19:52:10 ()],4,665.1075101064489,13.415294957423326,0.095,2,2
[2022-04-28 19:52:15 ()],5,665.1075101064489,14.621901591795515,0.085,2,2
[2022-04-28 19:52:20 ()],6,2896.309375740099,28.57105904773341,0.125,2,2
[2022-04-28 19:52:25 ()],7,209.53281365934072,12.116114801321006,0.085,2,1
[2022-04-28 19:52:29 ()],8,505.9644256269407,16.8588603283706,0.105,2,2
[2022-04-28 19:52:34 ()],9,838.1312546373629,30.428518502429583,0.155,2,2
[2022-04-28 19:52:39 ()],10,838.1312546373629,24.72460356139399,0.16,2,2
[2022-04-28 19:52:43 ()],11,256.0,35.19489263340637,0.225,2,1
[2022-04-28 19:52:48 ()],12,838.1312546373629,49.99228910830721,0.285,2,2
[2022-04-28 19:52:53 ()],13,749.9546652965098,47.779946237665115,0.265,2,2
[2022-04-28 19:52:59 ()],14,1881.2081224574808,75.60008506444944,0.305,2,2
[2022-04-28 19:53:03 ()],15,838.1312546373629,49.829957674300495,0.245,2,2
[2022-04-28 19:53:09 ()],16,838.1312546373629,57.45736225358831,0.3,2,2
[2022-04-28 19:53:14 ()],17,357.77087639996637,54.67864205383594,0.315,2,1
[2022-04-28 19:53:19 ()],18,749.9546652965098,60.407876058606526,0.34,2,2
[2022-04-28 19:53:23 ()],19,838.1312546373629,65.61004686706923,0.35,2,2
[2022-04-28 19:53:28 ()],20,838.1312546373629,57.818021105127315,0.31,2,2
[2022-04-28 19:53:33 ()],21,838.1312546373629,63.20050610450842,0.3,2,2
[2022-04-28 19:53:38 ()],22,1885.7953229340665,82.56293006252348,0.365,3,3
[2022-04-28 19:53:44 ()],23,972.0,85.34360020419301,0.38,3,3
[2022-04-28 19:53:48 ()],24,838.1312546373629,62.997726654795116,0.345,3,2
[2022-04-28 19:53:54 ()],25,2244.737846609265,77.6169190097333,0.32,3,3
[2022-04-28 19:54:00 ()],26,1221.8805178903542,75.45298253308492,0.345,3,2
[2022-04-28 19:54:05 ()],27,838.1312546373629,69.4872866776418,0.34,3,2
[2022-04-28 19:54:11 ()],28,1221.8805178903542,69.25578943557572,0.315,3,2
[2022-04-28 19:54:17 ()],29,838.1312546373629,76.8612128573302,0.335,3,2
[2022-04-28 19:54:23 ()],30,838.1312546373629,68.21381091213146,0.325,3,2
[2022-04-28 19:54:28 ()],31,838.1312546373629,51.779774331290334,0.25,3,2
[2022-04-28 19:54:33 ()],32,1539.7454335051623,76.57912706743116,0.345,3,2
[2022-04-28 19:54:39 ()],33,2000.0,67.00175629089648,0.325,3,2
[2022-04-28 19:54:45 ()],34,1024.0,70.13377455207721,0.34,3,2
[2022-04-28 19:54:52 ()],35,838.1312546373629,58.488355161862785,0.31,3,2
[2022-04-28 19:54:58 ()],36,1885.7953229340665,82.7698081924507,0.355,3,3
[2022-04-28 19:55:04 ()],37,1024.0,57.2123192319506,0.305,3,2
[2022-04-28 19:55:09 ()],38,838.1312546373629,79.66699127365189,0.405,3,2
[2022-04-28 19:55:15 ()],39,900.2488544841365,87.27861908867823,0.36,3,2
[2022-04-28 19:55:21 ()],40,838.1312546373629,68.13121872598629,0.34,3,2
[2022-04-28 19:55:27 ()],41,838.1312546373629,48.3102079303537,0.255,3,2
[2022-04-28 19:55:33 ()],42,1496.49189773951,76.66204241858975,0.33,3,3
[2022-04-28 19:55:38 ()],43,583.7259631025504,54.82092784757165,0.305,3,2
[2022-04-28 19:55:44 ()],44,1687.397996917147,90.19679239887704,0.385,3,3
[2022-04-28 19:55:49 ()],45,838.1312546373629,72.3977989695957,0.365,3,2
[2022-04-28 19:55:55 ()],46,838.1312546373629,69.64224176340156,0.375,3,2
[2022-04-28 19:56:00 ()],47,838.1312546373629,76.90563195858151,0.385,3,2
[2022-04-28 19:56:05 ()],48,749.9546652965098,83.30440699590098,0.41,3,2
[2022-04-28 19:56:11 ()],49,900.2488544841365,92.63510108242608,0.44,3,2
[2022-04-28 19:56:17 ()],50,900.2488544841365,76.98142896309513,0.365,3,2
[2022-04-28 19:56:23 ()],51,4511.517704719777,117.38821273809324,0.435,3,2
[2022-04-28 19:56:29 ()],52,1221.8805178903542,88.64859419531493,0.36,3,2
[2022-04-28 19:56:35 ()],53,838.1312546373629,83.95271862257678,0.415,3,2
[2022-04-28 19:56:41 ()],54,1764.8660005790807,102.43005332230717,0.415,3,2
[2022-04-28 19:56:48 ()],55,1024.0,87.75177417898924,0.405,3,2
[2022-04-28 19:56:55 ()],56,838.1312546373629,77.19472560308841,0.36,3,2
[2022-04-28 19:57:01 ()],57,1885.7953229340665,101.72367420604989,0.435,3,3
[2022-04-28 19:57:07 ()],58,2761.6111239636907,133.79853298128802,0.505,3,2
[2022-04-28 19:57:13 ()],59,1221.8805178903542,120.16239405113063,0.515,3,2
[2022-04-28 19:57:20 ()],60,1221.8805178903542,106.39694765192898,0.43,3,2
[2022-04-28 19:57:26 ()],61,1207.4767078498865,88.29733990868323,0.38,3,2
[2022-04-28 19:57:32 ()],62,838.1312546373629,78.88253410603231,0.36,3,2
[2022-04-28 19:57:38 ()],63,1885.7953229340665,77.3373161192209,0.335,3,3
[2022-04-28 19:57:44 ()],64,1121.4847301680036,92.19416344259004,0.4,3,2
[2022-04-28 19:57:50 ()],65,1325.1052788363647,87.06302389335174,0.36,3,2
